business_name,lic_code,street_address,business_start_date,business_end_date,Lifespan,isClosed,full_address,business_id,name,district,MA,year,latitude,longitude,tract,GEOID10,link,HC01_VC05,HC01_VC113,HC01_VC115,HC01_VC117,HC01_VC121,HC01_VC28,HC01_VC36,HC01_VC41,HC01_VC42,HC01_VC43,HC01_VC44,HC01_VC50,HC01_VC51,HC01_VC52,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC58,HC01_VC59,HC01_VC60,HC01_VC61,HC01_VC62,HC01_VC67,HC01_VC68,HC01_VC69,HC01_VC85,HC01_VC86,HC01_VC89,HC01_VC99,HC03_VC05,HC03_VC13,HC03_VC156,HC03_VC28,HC03_VC41,HC03_VC42,HC03_VC43,HC03_VC44,HC03_VC45,HC03_VC50,HC03_VC51,HC03_VC52,HC03_VC53,HC03_VC54,HC03_VC55,HC03_VC56,HC03_VC57,HC03_VC58,HC03_VC59,HC03_VC60,HC03_VC61,HC03_VC62,HC03_VC67,HC03_VC68,HC03_VC69,HC03_VC75,HC03_VC76,HC03_VC77,HC03_VC78,HC03_VC79,HC03_VC80,HC03_VC81,HC03_VC82,HC03_VC83,HC03_VC84,HD01_S001,HD01_S020,HD01_S026,HD01_S045,HD01_S051,HD01_S070,HD01_S151,HD01_S169,HD01_S170,HD01_S171,HD01_S180,HD01_S181,HD01_S184,HD02_S026,HD02_S051,HD02_S151,HD02_S170,HD02_S171,HD02_S180,HD02_S181,HD02_S184,Opening_year,Closing_year,Opening_month,Closing_month,input_string,price_level,rating,business_name.1,Q1_16_Nature_Exp,Q2_16_Nature_Exp,Q3_16_Nature_Exp,Q4_16_Nature_Exp,Q1_17_Nature_Exp,Q2_17_Nature_Exp,Q3_17_Nature_Exp,Q4_17_Nature_Exp,Q1_16_Family_Fun,Q2_16_Family_Fun,Q3_16_Family_Fun,Q4_16_Family_Fun,Q1_17_Family_Fun,Q2_17_Family_Fun,Q3_17_Family_Fun,Q4_17_Family_Fun,Q1_16_Healthy_Lifestyle,Q2_16_Healthy_Lifestyle,Q3_16_Healthy_Lifestyle,Q4_16_Healthy_Lifestyle,Q1_17_Healthy_Lifestyle,Q2_17_Healthy_Lifestyle,Q3_17_Healthy_Lifestyle,Q4_17_Healthy_Lifestyle,Q1_16_Nightlife_Hotspot,Q2_16_Nightlife_Hotspot,Q3_16_Nightlife_Hotspot,Q4_16_Nightlife_Hotspot,Q1_17_Nightlife_Hotspot,Q2_17_Nightlife_Hotspot,Q3_17_Nightlife_Hotspot,Q4_17_Nightlife_Hotspot,Q1_16_Artsy,Q2_16_Artsy,Q3_16_Artsy,Q4_16_Artsy,Q1_17_Artsy,Q2_17_Artsy,Q3_17_Artsy,Q4_17_Artsy,Q1_16_Foodie,Q2_16_Foodie,Q3_16_Foodie,Q4_16_Foodie,Q1_17_Foodie,Q2_17_Foodie,Q3_17_Foodie,Q4_17_Foodie,Q1_16_Hipster,Q2_16_Hipster,Q3_16_Hipster,Q4_16_Hipster,Q1_17_Hipster,Q2_17_Hipster,Q3_17_Hipster,Q4_17_Hipster,Q1_16_Beautiful_Scenery,Q2_16_Beautiful_Scenery,Q3_16_Beautiful_Scenery,Q4_16_Beautiful_Scenery,Q1_17_Beautiful_Scenery,Q2_17_Beautiful_Scenery,Q3_17_Beautiful_Scenery,Q4_17_Beautiful_Scenery,Foodie_16,Foodie_17,lic_code_cat,district_cat,Nature_Exp,Family_Fun,Healthy_Lifestyle,Nightlife_Hotspot,Artsy,Foodie,Hipster,Beautiful_Scenery
los colores taqueria  grill,"Restaurant Less Than 1,000 Sqft",709 o'farrell st,8/31/2016,,706,1,"709 o'farrell st, San Francisco, CA, 94109",89111,los colores taqueria  grill,Tenderloin,91,2018,37.7851687,-122.4166195,Census Tract 122.01,6075012201,http://www.sfgate.com/neighborhoods/sf/tenderloin/,2700,44690,30540,1855,28440,2298,26.5,996,885,391,15,0,54,165,52,154,65,73,196,390,422,564,238,60,2117,208,108,31265,51460,57516,167,71.2,9.9,27.8,2298,40.9,36.4,16.1,0.6,6,0,2.2,6.8,2.1,6.3,2.7,3,8.1,16,17.3,23.2,9.8,2.5,87,8.5,4.4,10.7,11.7,13.4,19.4,13,12.3,8,7.9,0.9,2.8,4567,35.6,2717,37.4,1850,33.1,599,2906,2667,239,2667,152,2515,59.5,40.5,22.5,91.8,8.2,100,5.7,94.3,2016,,8,,20th century cafe,1,4.4,guckenheimer 009301,66.43,75.07,78.76,75.26,72.79,79.15,71.23,77.1,76.86,74.42,77.72,79.61,79.21,76.79,75.93,77.21,92.39,93.43,92.05,92.76,94.38,95.96,92.42,91.99,92.54,92.53,92.69,95.31,91.77,92.66,94.79,92.55,90.62,89.53,92.47,92.5,92.27,91.48,91.1,91.31,74.17,79.06,79.6,79.87,79.93,82.72,79.7,76.19,79.26,79.93,84.98,80.59,83.11,80,80,79.41,78.34,79.59,79.87,81.67,79.75,79.17,79.6,79.94,78.175,79.635,3,65,74.47375,77.21875,93.1725,93.105,91.41,78.905,80.91,79.74125
dim sum bistro,"Restaurant 1,000 - 2,000 Sqft",675 broadway,1/15/2016,,935,1,"675 broadway, San Francisco, CA, 94133",86306,dim sum bistro,Chinatown,83.5,2017,37.7975019,-122.4081675,Census Tract 107,6075010700,http://www.sfgate.com/neighborhoods/sf/chinatown/,2733,45444,21204,1497,21500,2276,27.5,688,762,467,94,0,109,247,13,260,22,86,165,294,436,357,163,195,1868,337,142,22828,41028,58945,207,52.7,13.6,21.4,2276,29.3,32.5,19.9,4,14.3,0,4.6,10.5,0.6,11.1,0.9,3.7,7,12.5,18.6,15.2,6.9,8.3,79.6,14.4,6.1,20.6,19.9,13.8,11.8,8.2,8.1,6.4,5.2,3.1,2.8,5592,51.6,2636,49.4,2956,53.6,1298,3025,2778,247,2778,154,2624,47.1,52.9,46.7,91.8,8.2,100,5.5,94.5,2016,,1,,seoul of taipei,2,4.3,ha tien cove,17.33,20.92,21.42,23.21,18.08,36.89,16.22,21.38,11.04,12.15,20.04,16.26,21.95,19.89,11.91,10.98,47.13,55.18,56.34,55.64,62.55,59.44,59.56,56.17,7.15,19.84,8.76,25.81,34.26,26.32,6.83,19.07,50,46.93,52.64,55.82,48.77,49.18,53.58,47.22,11.3,7.7,6.09,42.02,26.61,26.92,16.67,1.39,55.38,54.97,35.53,41.65,37.23,47.72,51.75,35.51,0.01,29.23,8.21,0.84,29.52,0.96,29.08,0.01,16.7775,17.8975,1,6,21.93125,15.5275,56.50125,18.505,50.5175,17.3375,44.9675,12.2325
krispy krunchy chicken,"Restaurant Less Than 1,000 Sqft",4517 3rd st,1/1/2016,,949,1,"4517 3rd st, San Francisco, CA, 94124",93911,krispy krunchy chicken,Bayview,93,2018,37.7367349,-122.3896918,Census Tract 612,6075061200,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Bayview,1766,59634,17911,408,25216,1530,24.7,296,298,435,386,12,352,53,43,469,106,12,28,81,166,141,36,64,1321,186,56,43293,53515,57270,101,62.4,11.5,11.7,1530,18.9,19.1,27.8,24.7,9.5,0.8,22.5,3.4,2.8,30,6.8,0.8,1.8,5.2,10.6,9,2.3,4.1,84.5,11.9,3.6,6,9.4,12.2,16.6,16.3,15.8,6.6,13.4,3.7,0,4089,35.6,2155,34.6,1934,36.8,766,1235,1115,120,1115,450,665,52.7,47.3,68.7,90.3,9.7,100,40.4,59.6,2016,,1,,the sea star,1,4.8,il casaro pizze mozzarella bar,67.61,76.03,79.22,75.88,73.22,78.45,70.28,75.7,75.65,79.37,78.98,78.22,79.14,77.75,79.93,76.85,80,80,80,79.98,80,81.46,79.98,79.97,91.17,91.75,92.98,95.33,91.21,92.11,93.84,91.78,89.73,89.23,91.93,91.18,91.56,90.89,91.22,90.97,74.85,78.91,79.81,79.99,79.99,80,79.99,76.01,79.71,80,85.18,87.27,89.36,87.96,80,79.29,64.6,66.98,73.89,74.13,66.81,66.35,69.88,65.06,78.39,78.9975,3,1,74.54875,78.23625,80.17375,92.52125,90.83875,78.69375,83.59625,68.4625
sushi hon,"Restaurant 1,000 - 2,000 Sqft",2598 harrison st,1/22/2016,,928,1,"2598 harrison st, San Francisco, CA, 9411",86475,sushi hon,Mission,85.5,2018,37.756022,-122.412464,Census Tract 228.03,6075022803,http://www.sfgate.com/neighborhoods/sf/mission/,3309,69283,29080,752,27560,3084,28.2,891,1116,639,227,0,179,182,8,384,83,154,122,419,493,855,231,10,2510,271,330,68911,81127,81204,23,81.3,5.7,2.2,3084,28.6,35.8,20.5,7.3,7.9,0,5.7,5.8,0.3,12.3,2.7,4.9,3.9,13.4,15.8,27.4,7.4,0.3,80.4,8.7,10.6,1.9,0,8,12.6,13.2,21.5,14.3,13.3,11.4,3.8,4595,33.4,2416,33.4,2179,33.4,765,1606,1531,75,1531,463,1068,52.6,47.4,50,95.3,4.7,100,30.2,69.8,2016,,1,,west coast wine cheese,2,4.6,giorgios pizzeria,67.99,69.26,77.04,73.85,72.15,77.01,69.96,73.46,77.56,75.54,78.44,79.5,78.59,76.92,77.57,79.11,92.32,93.87,92.97,93.96,94.98,96.28,92.33,92.37,94.31,94.27,94.89,96.32,94.9,95.25,95.94,94.22,94.12,93.04,95.72,96.06,95.81,95.44,93.81,94.04,75.09,79.7,79.26,79.76,79.69,81.16,78.02,74.18,80,81.32,87.67,87.04,85.16,82.86,82.25,80,79.88,79.93,80,80,79.89,80,79.67,79.75,78.4525,78.2625,1,38,72.59,77.90375,93.635,95.0125,94.755,78.3575,83.2875,79.89
sunflower garden restaurant,,1368 9th ave,1/26/2016,2/28/2017,399,0,"1368 9th ave, San Francisco, CA, 94122",92584,sunflower garden restaurant,Inner Sunset,90,2017,37.7628133,-122.4659856,Census Tract 302.02,6075030202,http://www.sfgate.com/neighborhoods/sf/innersunset/,2980,128616,46818,1195,46014,2759,32.5,1833,258,531,122,0,200,180,19,114,103,104,124,603,1005,140,155,113,1969,609,282,83077,98856,100917,26,72.3,4,4,2759,64.1,9,18.6,4.3,4.1,0,7,6.3,0.7,4,3.6,3.6,4.3,21.1,35.1,4.9,5.4,4,68.8,21.3,9.9,4.1,3.9,4.4,7,8.8,18.8,12.2,24.8,8,8,4313,34.2,2049,34.6,2264,33.6,778,2229,2084,145,2084,461,1623,47.5,52.5,37.3,93.5,6.5,100,22.1,77.9,2016,2017,1,2,hang ah tea room,2,4.1,birite catering llc,29.02,37.64,47.3,58.65,54.38,57.08,36.52,37.27,12.66,14.27,14.29,28.23,14.57,23.69,16.38,11.29,46.46,47.87,49.95,56.19,45.65,50.6,44.45,45.19,44.31,44.81,54.44,56.56,52.14,51.92,48.16,46.06,75.87,77.27,78.72,78.41,78.46,78.7,76.96,76.51,19.54,20.1,34.24,36.61,40.85,46.89,52.43,16.55,37.11,39.06,66.5,64.54,65.49,64.29,51.99,48.17,1.89,1.95,5.96,8.76,7.13,2.47,1.49,1.96,27.6225,39.18,-1,29,44.7325,16.9225,48.295,49.8,77.6125,33.40125,54.64375,3.95125
pho delicious,"Restaurant 1,000 - 2,000 Sqft",1365 stockton st,2/9/2016,,910,1,"1365 stockton st, San Francisco, CA, 94133",86765,pho delicious,North Beach,83.5,2017,37.7984416,-122.4089695,Census Tract 107,6075010700,http://www.sfgate.com/neighborhoods/sf/northbeach/,2733,45444,21204,1497,21500,2276,27.5,688,762,467,94,0,109,247,13,260,22,86,165,294,436,357,163,195,1868,337,142,22828,41028,58945,207,52.7,13.6,21.4,2276,29.3,32.5,19.9,4,14.3,0,4.6,10.5,0.6,11.1,0.9,3.7,7,12.5,18.6,15.2,6.9,8.3,79.6,14.4,6.1,20.6,19.9,13.8,11.8,8.2,8.1,6.4,5.2,3.1,2.8,5592,51.6,2636,49.4,2956,53.6,1298,3025,2778,247,2778,154,2624,47.1,52.9,46.7,91.8,8.2,100,5.5,94.5,2016,,2,,tuyet mai,1,4.5,brisas de vallarta,34.81,41.67,48.29,45,47.38,50.05,36.68,30.64,32.13,36.66,53.61,47.83,68.89,44.4,44.18,32.88,20.83,25.86,38.84,26.5,22.37,30.36,21.57,20.36,49.43,54.12,56.86,57.53,51.27,56.4,57.42,56.13,31.34,25.69,35.32,48.91,41.29,35.32,33.73,31.48,4.59,12.42,26.18,40.99,19.29,44.77,30.26,1.19,28.47,29.31,48.17,70.43,74.06,52.47,35.66,27.55,1.83,1.94,4.05,4.09,2.14,1.81,2.15,1.87,21.045,23.8775,1,43,41.815,45.0725,25.83625,54.895,35.385,22.46125,45.765,2.485
poke bar,Take-Out Establishment,1355 market st,2/2/2016,,917,1,"1355 market st, San Francisco, CA, 94103",86567,poke bar,South of Market,82.5,2018,37.7768337,-122.4163755,Census Tract 176.01,6075017601,http://www.sfgate.com/neighborhoods/sf/soma/,3188,49387,25330,2221,25938,2657,25,951,626,894,215,0,139,177,44,319,70,197,247,364,617,641,74,95,2522,334,128,23099,46745,61388,259,60.9,5.9,12.7,2657,31.9,21,30,7.2,10,0,4.7,5.9,1.5,10.7,2.3,6.6,8.3,12.2,20.7,21.5,2.5,3.2,84.5,11.2,4.3,17.8,16.6,18,5.9,6.8,10.1,11.3,9.5,1.8,2.3,7630,41.5,4723,42.8,2907,39,1029,5296,4321,975,4321,407,3914,61.9,38.1,23.8,81.6,18.4,100,9.4,90.6,2016,,2,,noc noc,1,4.4,roka akor,64.91,76.11,79.07,76.54,71.95,79.36,71.34,76.86,70.68,75.46,76.43,76.8,78.65,76.19,77.07,77.07,87.42,89.62,86.35,86.29,88.8,91.55,87.85,87.04,93.07,93.02,94.4,96.23,92.54,93.15,95.33,93.33,90.48,90.07,92.88,92.31,92.32,91.62,92.22,91.86,74.02,78.65,79.69,79.94,79.99,80,79.95,76.3,79.95,80.7,89.96,88.74,91.75,89.55,82.48,79.95,71.59,76,77.43,79.43,77.01,73.48,74.42,76.85,78.075,79.06,4,62,74.5175,76.04375,88.115,93.88375,91.72,78.5675,85.385,75.77625
pak nam thai cuisine,"Restaurant Greater Than 2,000 Sqft",655 larkin st,2/10/2016,,909,1,"655 larkin st, San Francisc0, CA, 94109",85587,pak nam thai cuisine,Tenderloin,89,2018,37.7840059,-122.4179186,Census Tract 124.02,6075012402,http://www.sfgate.com/neighborhoods/sf/tenderloin/,1439,44595,23441,1570,24228,1219,28.7,489,489,182,72,16,79,75,6,59,10,27,135,166,232,294,153,36,1056,199,33,18908,34463,45318,150,51.9,10.5,20.5,1219,38,38,14.1,5.6,4.3,1.2,6.1,5.8,0.5,4.6,0.8,2.1,10.5,12.9,18,22.8,11.9,2.8,82,15.5,2.6,26.5,19,11.1,10.1,10.5,13.1,5.7,1.6,0.3,2.1,3974,36.8,2410,38.9,1564,34,493,2517,2254,263,2254,94,2160,60.6,39.4,21.9,89.6,10.4,100,4.2,95.8,2016,,2,,wraps to go,2,4.3,grand hotpot lounge inc,65.32,66.5,74.78,72.61,71.83,68.58,69.25,68.21,64.49,63.77,67.79,69.53,67.44,71.26,66.86,65.83,68.92,71.96,72.31,73.18,74.84,75.03,72.62,70.24,47.33,51.22,54.23,47.96,48.52,60.96,46.95,48.67,70.56,69.51,74.16,74.63,73.86,72.93,74.61,69.28,54.88,57.65,74.53,78.49,76.28,76.26,71.85,48.28,35.23,44.28,42.88,41.75,47.84,55.47,39.88,24.48,0.69,0.77,1.84,0.78,0.79,0.78,0.75,2.72,66.3875,68.1675,2,65,69.635,67.12125,72.3875,50.73,72.4425,67.2775,41.47625,1.14
wok station inc,"Restaurant Less Than 1,000 Sqft",2154 irving st,3/1/2016,,889,1,"2154 irving st, San Francisco, CA, 94122",87951,wok station inc,Outer Sunset,83,2018,37.7635197,-122.4812608,Census Tract 326.01,6075032601,http://www.sfgate.com/neighborhoods/sf/outersunset/,2743,98436,33840,707,35427,2472,30.2,977,671,602,139,0,92,23,44,154,100,157,195,266,416,384,532,196,1835,300,424,61224,80599,80895,80,70.7,6.7,4.5,2472,38.2,26.2,23.5,5.4,6.6,0,3.6,0.9,1.7,6,3.9,6.1,7.6,10.4,16.3,15,20.8,7.7,71.7,11.7,16.6,4,3.7,9.8,10.3,10.3,21.3,13.1,9.5,14.9,3,4416,36.8,2139,35.8,2277,37.9,913,1845,1728,117,1728,592,1136,48.4,51.6,52.8,93.7,6.3,100,34.3,65.7,2016,,3,,starbucks coffee,2,4.4,the plant cafe organic,66.01,72.47,77.67,73.66,71.85,78.21,69.62,75.7,76.25,71.53,76.61,78.52,78.35,75.54,73.55,75.56,93.23,94.59,93.39,94.23,95.27,96.73,93.27,93.04,92.6,92.62,92.8,95.42,92.4,93.33,95.05,92.52,91.39,90.38,93.35,93.62,93.23,92.54,91.41,91.75,74.1,79.41,79.37,79.8,79.79,83.34,79.32,75.62,79.56,79.96,83.76,80.78,80.09,80,80,79.68,79.19,79.61,79.92,80,79.58,79.79,79.65,79.92,78.17,79.5175,3,47,73.14875,75.73875,94.21875,93.3425,92.20875,78.84375,80.47875,79.7075
chennai kings,,418 beach st,3/8/2016,8/31/2017,541,0,"418 beach st, San Francisco, CA, 94133",92568,chennai kings,Fishermans Wharf,86,2018,37.8075287,-122.4160693,Census Tract 101,6075010100,http://www.sfgate.com/neighborhoods/sf/fishermanswharf/,2236,92317,41840,1568,50106,2060,28,1279,230,490,22,0,44,45,35,217,26,96,381,626,267,221,105,36,1762,122,215,54095,69502,85671,43,65.1,6.1,21.4,2060,60.9,11,23.3,1,3.7,0,2.1,2.1,1.7,10.3,1.2,4.6,18.2,29.8,12.7,10.5,5,1.7,83.9,5.8,10.2,10.5,11.3,12.2,1.8,11.6,15,13.2,13,6.4,4.9,3739,38.7,1754,38.5,1985,39.1,713,2267,2090,177,2090,383,1707,46.9,53.1,34.1,92.2,7.8,100,18.3,81.7,2016,2017,3,8,starbucks coffee,2,4.2,saigon bbq restaurant,22.9,32.7,30.63,33.86,34.26,36.75,29.09,26.54,17.01,54.41,23.36,21.89,21.08,25.49,18.62,16.79,23.92,16.73,36.09,27.89,19.43,22.14,20.17,18.15,36.92,29.9,45.68,36.73,33.61,39.55,30.39,35.77,55.45,52.12,58.16,57.61,58.81,58.41,56.32,57.4,19.86,17.67,22,46.24,54.68,62.04,37.77,14.74,36.23,33.88,40.77,64.71,58.12,64.88,25.94,31.57,0.22,0.28,0.64,3.81,3.69,1.25,1.94,0.22,26.4425,42.3075,-1,18,30.84125,24.83125,23.065,36.06875,56.785,34.375,44.5125,1.50625
anar restaurant persian cuisine,"Restaurant 1,000 - 2,000 Sqft",937 harrison st,3/1/2016,,889,1,"937 harrison st, San Francisco, CA, 94107",88764,anar restaurant persian cuisine llc,South of Market,89,2018,37.7781774,-122.4024371,Census Tract 180,6075018000,http://www.sfgate.com/neighborhoods/sf/soma/,1915,152559,47390,851,53651,1711,28.5,1037,256,350,43,0,16,128,24,180,45,148,329,377,98,233,65,68,1436,96,152,111375,129611,129643,0,56,10.7,13.9,1711,60.6,15,20.5,2.5,1.5,0,0.9,7.5,1.4,10.5,2.6,8.6,19.2,22,5.7,13.6,3.8,4,83.9,5.6,8.9,4.4,4.8,1.5,8.8,5.9,14.1,6.9,27,2.1,24.6,4221,36.8,2884,38.3,1337,33.9,397,1595,1499,96,1499,598,901,68.3,31.7,26.5,94,6,100,39.9,60.1,2016,,3,,old ship saloon the,1,4.2,las cocineras restaurant,67.73,60.73,73.92,77.05,71.56,75.49,68.52,65.37,76.25,78.81,75.87,78.1,76.68,77.69,77.63,78.55,80.62,83.44,83.25,86.7,83.91,86.06,80,82.46,92.82,92.03,93.52,95.26,93.99,93.61,92.77,93.06,95.81,95.76,97.06,97.24,96.6,96.79,96.02,95.88,63.93,68.3,67.27,70.38,72.92,78.28,64.08,56.26,85.04,84.69,89.4,91.57,88.01,91.29,85.26,86.31,29.72,45.23,51.29,31.9,24.82,30.46,23.32,20.45,67.47,67.885,1,62,70.04625,77.4475,83.305,93.3825,96.395,67.6775,87.69625,32.14875
mr banh mi,"Restaurant Less Than 1,000 Sqft",3605 balboa st,3/23/2016,,867,1,"3605 balboa st, San Francisco, CA, 94015",88066,mr banh mi,Outer Richmond,94,2018,37.7754966,-122.4975133,Census Tract 478.02,6075047802,http://www.sfgate.com/neighborhoods/sf/outerrichmond/,2749,109061,35577,774,40638,2542,29.7,1111,312,939,65,0,117,80,66,465,37,0,221,403,899,73,63,156,1683,451,400,86563,91548,89180,20,72.3,6.1,0,2542,43.1,12.1,36.4,2.5,5.9,0,4.5,3.1,2.6,18,1.4,0,8.6,15.6,34.8,2.8,2.4,6,65.2,17.5,15.5,1.9,2.3,6.2,6.5,13.1,15.1,22.9,15.3,6.7,9.9,3656,41.6,1758,40.1,1898,42.9,835,1617,1497,120,1497,550,947,48.1,51.9,55.8,92.6,7.4,100,36.7,63.3,2016,,3,,la mediterranee i inc,2,4.4,the italian homemade company,74.09,77.83,79.85,78.18,77.07,79.07,75.1,77.33,79.04,80,79.94,79.09,78.83,79.82,79.99,78.3,79.35,79.32,79.9,79.75,79.93,79.97,79.31,78.8,79.98,80,81.84,85.59,80,80.07,81.45,80,87.89,87.23,90.78,90.39,89.88,90.06,89.37,88.89,70.13,73.27,77.58,79.26,79.13,79.15,78.83,68.74,77.43,78.13,79.16,80,79.94,79.99,78.82,78.29,63.64,64.53,71.72,69.16,61.88,64.32,68.54,61.5,75.06,76.4625,3,46,77.315,79.37625,79.54125,81.11625,89.31125,75.76125,78.97,65.66125
la marsa,"Restaurant Less Than 1,000 Sqft",454 geary st,3/28/2016,,862,1,"454 geary st, San Francisco, CA, 94102",87309,la marsa,Lower Nob Hill,100,2018,37.7871826,-122.4108169,Census Tract 123.02,6075012302,"http://en.wikipedia.org/wiki/Nob_Hill,_San_Francisco",1257,86431,30162,1568,33082,946,29.1,501,230,245,33,0,27,40,25,44,19,57,24,251,160,262,43,89,843,152,46,24375,36833,51175,135,61.2,17.2,9.9,946,48.1,22.1,23.5,3.2,3.1,0,2.6,3.8,2.4,4.2,1.8,5.5,2.3,24.1,15.4,25.2,4.1,8.5,81,14.6,4.4,28.1,5.3,17.2,15.2,4.6,16.6,3.3,7.9,1.8,0,3073,33,1746,36.8,1327,29.3,258,2388,2098,290,2098,4,2094,56.8,43.2,12.3,87.9,12.1,100,0.2,99.8,2016,,3,,swan oyster depot,2,4.5,basik cafe,58.18,64.59,71.25,72.65,74.97,73.56,65.59,65.58,56.26,67.38,73.06,70.26,69.92,69.44,67.68,67.36,82.24,81.89,87.43,86.63,86.79,85.01,80.54,80,79.99,84.16,83.23,82.42,82.07,83.29,83.54,80,88.2,89.88,90.62,90.23,90.55,91.37,90.45,90.68,72.37,74.5,79.55,80,80,79.23,76.28,72.21,79.49,78.73,79.39,79.33,78.97,80,78.08,75.5,34.86,41.44,31.87,43.41,32.54,35.09,33.65,44.82,76.605,76.93,3,34,68.29625,67.67,83.81625,82.3375,90.2475,76.7675,78.68625,37.21
poke bowl,"Restaurant 1,000 - 2,000 Sqft",1250 ocean ave,3/29/2016,,861,1,"1250 ocean ave, San Francisco, CA, 94112",87167,poke bowl,Westwood Park,84.5,2017,37.7239929,-122.4556143,Census Tract 310,6075031000,"http://en.wikipedia.org/wiki/Westwood_Park,_San_Francisco,_California",1619,127799,43766,451,47672,1531,31.8,878,211,302,97,10,170,29,73,125,52,110,142,168,452,102,57,69,1124,259,176,91907,109984,113180,43,59.7,3.7,5.2,1531,56.3,13.5,19.4,6.2,4.6,0.6,10.9,1.9,4.7,8,3.3,7.1,9.1,10.8,29,6.5,3.7,4.4,72.1,16.6,11.3,4.2,1.6,11.3,1.9,8.8,13.8,11,18.8,16.9,11.9,3494,45.6,1755,44.4,1739,46.7,886,1322,1271,51,1271,1060,211,50.2,49.8,69.7,96.1,3.9,100,83.4,16.6,2016,,3,,on the bridge,1,4.2,original bakery,68.4,74.86,79.1,76.23,75.31,77.67,69.83,75.22,76.53,78.23,78.85,77.55,77.39,77.29,78.61,76.51,80,80,80,80,80,82.87,79.98,79.99,88.59,90.51,91.32,93.05,88.78,90.54,91.91,90.38,89.9,88.8,91.98,91.02,91.68,90.7,91.2,90.93,72.53,77.42,79.53,79.91,79.83,79.92,79.7,74.08,79.5,79.73,80,80,81.47,80,79.91,79.29,70.18,71.34,75.85,75.44,69.22,67.98,74.21,71.12,77.3475,78.3825,1,70,74.5775,77.62,80.355,90.635,90.77625,77.865,79.9875,71.9175
golden burma restaurant,"Restaurant 1,000 - 2,000 Sqft",15 boardman place,3/31/2016,,859,1,"15 boardman place, San Francisco, CA, 94103",87639,golden burma restaurant,South of Market,81.5,2018,37.7750678,-122.4031672,Census Tract 180,6075018000,http://www.sfgate.com/neighborhoods/sf/soma/,1915,152559,47390,851,53651,1711,28.5,1037,256,350,43,0,16,128,24,180,45,148,329,377,98,233,65,68,1436,96,152,111375,129611,129643,0,56,10.7,13.9,1711,60.6,15,20.5,2.5,1.5,0,0.9,7.5,1.4,10.5,2.6,8.6,19.2,22,5.7,13.6,3.8,4,83.9,5.6,8.9,4.4,4.8,1.5,8.8,5.9,14.1,6.9,27,2.1,24.6,4221,36.8,2884,38.3,1337,33.9,397,1595,1499,96,1499,598,901,68.3,31.7,26.5,94,6,100,39.9,60.1,2016,,3,,kitaro japanese restaurant,1,4.2,chubby noodle,73.92,77.8,79.02,79.22,79.33,79.59,77.46,75,67.41,65.48,66.48,71.3,76.03,68.52,65.4,63.27,80,80,88,80.04,83.58,84.01,80,80,77.99,79.92,79.6,80,79.86,80,79.17,76.55,77.71,78.86,78.89,79.06,78.7,79.66,78.96,77.66,72.8,49.67,79.81,80,79.97,80,79.49,67.19,30.65,62.07,53.41,57.73,57.79,72.7,54.96,40.12,18.75,20.27,34.24,24.92,24.6,48.35,25.66,22.07,70.57,76.6625,1,62,77.6675,67.98625,81.95375,79.13625,78.6875,73.61625,53.67875,27.3575
poki hub,"Restaurant 1,000 - 2,000 Sqft",1130 ocean ave,4/8/2016,,851,1,"1130 ocean ave, San Francisco, CA, 94112",88306,poki hub,Westwood Park,95,2018,37.7235498,-122.4538296,Census Tract 310,6075031000,"http://en.wikipedia.org/wiki/Westwood_Park,_San_Francisco,_California",1619,127799,43766,451,47672,1531,31.8,878,211,302,97,10,170,29,73,125,52,110,142,168,452,102,57,69,1124,259,176,91907,109984,113180,43,59.7,3.7,5.2,1531,56.3,13.5,19.4,6.2,4.6,0.6,10.9,1.9,4.7,8,3.3,7.1,9.1,10.8,29,6.5,3.7,4.4,72.1,16.6,11.3,4.2,1.6,11.3,1.9,8.8,13.8,11,18.8,16.9,11.9,3494,45.6,1755,44.4,1739,46.7,886,1322,1271,51,1271,1060,211,50.2,49.8,69.7,96.1,3.9,100,83.4,16.6,2016,,4,,caffe macaroni,2,4.6,the sea star,58.88,58.25,64.72,64.62,65.35,69.95,65.19,56.71,66.88,66.98,70.44,66.87,70.52,68.12,68.81,66.9,79.37,79.89,79.61,79.52,79.49,79.99,79.67,79.53,59.56,71.9,67.57,67.32,62.16,62.1,69.54,60.05,80,80,80.56,83.34,84.86,81.93,80,80,46.84,57.22,68.74,61.94,47.14,77.99,41.41,42,64,52.81,68.8,45.77,71.76,60.86,56.02,50.93,28.82,38.59,22.24,17.7,18.48,19.35,24.27,16.77,58.685,52.135,1,70,62.95875,68.19,79.63375,65.025,81.33625,55.41,58.86875,23.2775
